	0	 8 
	1	 11 
	2	 0 
	3	 55 
	4	 0 
	5	 0 
	6	 14 
	7	 0 
	8	 0 
	9	 0 
	10	 0 
	11	 14 
	12	 0 
	13	 0 
	14	 2 
	15	 0 
	16	 17 
	17	 2 
	18	 0 
	19	 2 
	20	 29 
	21	 0 
	22	 0 
	23	 0 
	24	 0 
	25	 0 
	26	 0 
	27	 0 
	28	 0 
	29	 0 
	30	 0 
	31	 5 
	32	 0 
	33	 8 
	34	 0 
	35	 2 
	36	 0 
	37	 0 
	38	 0 
	39	 0 
	0	 0 
	1	 2 
	2	 8 
	3	 2 
	4	 0 
	5	 0 
	6	 2 
	7	 11 
	8	 0 
	9	 14 
	10	 0 
	11	 2 
	12	 14 
	13	 2 
	14	 0 
	15	 0 
	16	 0 
	17	 17 
	18	 0 
	19	 14 
	20	 2 
	21	 0 
	22	 11 
	23	 0 
	24	 8 
	25	 0 
	26	 0 
	27	 0 
	28	 0 
	29	 11 
	30	 0 
	31	 2 
	32	 5 
	33	 0 
	34	 76 
	35	 2 
	36	 0 
	37	 0 
	38	 2 
	39	 11 
